STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,001,000100,4627,+39.943809,-091.362724
17,001,000201,1986,+39.953308,-091.387569
17,001,000202,2999,+39.941252,-091.386019
17,001,000400,4322,+39.948390,-091.406128
17,001,000500,2337,+39.943484,-091.398623
17,001,000600,3718,+39.931662,-091.383562
17,001,000700,1481,+39.933457,-091.404548
17,001,000800,2711,+39.920248,-091.406269
17,001,000900,2573,+39.918838,-091.399649
17,001,001001,3391,+39.921554,-091.385824
17,001,001002,3223,+39.911428,-091.387456
17,001,001100,7257,+39.916865,-091.360845
17,001,010100,4451,+40.096166,-091.293058
17,001,010200,3720,+40.066987,-091.028991
17,001,010300,5890,+39.867238,-091.137602
17,001,010400,3553,+39.968066,-091.288266
17,001,010500,2989,+39.978220,-091.393775
17,001,010600,5875,+39.886020,-091.344629
17,003,957600,2928,+37.271218,-089.345988
17,003,957700,2172,+37.183094,-089.369560
17,003,957800,1528,+37.022355,-089.188768
17,003,957900,1610,+37.002211,-089.175810
17,005,951200,3216,+38.939500,-089.348127
17,005,951300,6958,+38.886290,-089.405941
17,005,951400,3146,+38.938645,-089.541266
17,005,951500,4448,+38.804125,-089.459375
17,007,010100,8562,+42.266208,-088.849985
17,007,010200,6105,+42.251714,-088.833193
17,007,010300,6631,+42.244273,-088.849552
17,007,010400,6841,+42.237926,-088.827962
17,007,010500,10185,+42.299984,-088.883754
17,007,010601,3859,+42.411386,-088.789130
17,007,010602,11982,+42.351958,-088.871313
17,009,970400,2606,+39.948083,-090.725975
17,009,970500,4331,+39.974883,-090.758800
17,011,964700,3072,+41.517544,-089.316921
17,011,964800,3496,+41.520478,-089.650773
17,011,964900,2815,+41.405666,-089.453526
17,011,965000,4078,+41.352036,-089.308106
17,011,965100,4152,+41.352735,-089.199370
17,011,965200,3600,+41.325440,-089.205131
17,011,965300,3429,+41.378285,-089.465898
17,011,965400,3549,+41.364997,-089.464261
17,011,965500,3759,+41.311792,-089.523981
17,011,965600,3028,+41.332763,-089.746759
17,013,951200,2681,+39.229865,-090.653977
17,013,951300,2408,+39.005140,-090.620289
17,015,960100,3578,+42.133693,-089.809105
17,015,960200,2165,+42.087137,-090.085038
17,015,960300,3176,+42.091972,-090.140226
17,015,960400,2234,+42.092082,-089.972286
17,015,960500,2636,+41.994992,-089.798021
17,015,960600,1598,+41.971456,-090.051637
17,017,960100,2403,+39.943449,-090.055545
17,017,960200,2655,+39.935234,-090.243359
17,017,960300,3294,+39.990816,-090.393372
17,017,960400,2548,+40.008755,-090.434251
17,017,960500,2742,+40.014997,-090.428011
17,019,000200,1693,+40.123500,-088.232821
17,019,000301,4819,+40.110751,-088.234630
17,019,000302,3372,+40.114324,-088.232873
17,019,000401,4843,+40.106752,-088.232953
17,019,000402,3931,+40.106703,-088.238461
17,019,000500,3919,+40.106938,-088.250294
17,019,000700,3650,+40.129642,-088.244840
17,019,000800,4844,+40.145632,-088.259039
17,019,000901,4867,+40.130895,-088.269000
17,019,000902,5786,+40.126376,-088.300690
17,019,001000,4510,+40.116864,-088.271973
17,019,001100,3599,+40.106729,-088.268394
17,019,001201,6590,+40.106284,-088.289278
17,019,001203,4592,+40.091253,-088.284744
17,019,001204,3622,+40.075955,-088.290379
17,019,001205,5037,+40.094491,-088.317039
17,019,001206,1831,+40.091200,-088.304815
17,019,001301,6081,+40.091074,-088.262337
17,019,001302,4199,+40.073190,-088.257242
17,019,001400,6877,+40.082236,-088.240029
17,019,005300,4383,+40.125508,-088.222357
17,019,005401,4170,+40.125910,-088.196395
17,019,005402,2927,+40.136230,-088.182624
17,019,005500,5635,+40.110658,-088.184608
17,019,005600,6853,+40.100930,-088.185256
17,019,005701,5066,+40.091684,-088.198466
17,019,005702,3015,+40.086099,-088.187742
17,019,005800,4194,+40.106714,-088.213715
17,019,005900,6366,+40.107523,-088.220513
17,019,006000,3308,+40.096624,-088.218295
17,019,010100,4582,+40.318126,-088.144418
17,019,010204,4620,+40.308581,-088.146656
17,019,010300,3789,+40.296050,-088.145172
17,019,010400,4809,+40.298301,-088.097021
17,019,010500,4371,+40.301897,-088.352196
17,019,010601,5549,+40.197975,-088.412660
17,019,010603,7144,+40.193301,-088.379777
17,019,010604,3151,+40.153518,-088.295625
17,019,010700,8057,+40.122307,-088.024881
17,019,010800,4534,+39.999625,-088.031496
17,019,010900,9302,+39.990251,-088.259244
17,019,011000,3809,+40.117896,-088.250067
17,019,011100,2785,+40.114041,-088.217652
17,021,958100,2999,+39.702632,-089.333048
17,021,958200,3888,+39.584077,-089.409645
17,021,958300,4308,+39.557402,-089.299703
17,021,958400,3868,+39.546478,-089.305242
17,021,958500,2551,+39.548289,-089.284684
17,021,958600,2277,+39.611803,-089.170169
17,021,958700,4750,+39.469467,-089.131580
17,021,958800,2746,+39.384174,-089.075376
17,021,958900,2763,+39.391902,-089.085620
17,021,959000,4650,+39.479082,-089.348080
17,023,060100,4834,+39.355326,-087.673738
17,023,060200,4337,+39.391475,-087.694457
17,023,060300,5371,+39.309488,-087.952101
17,023,060400,1793,+39.365846,-087.941903
17,025,971900,2517,+38.846441,-088.492211
17,025,972000,2844,+38.749724,-088.505435
17,025,972100,5405,+38.670784,-088.487069
17,025,972200,3049,+38.657617,-088.479603
17,027,900100,6055,+38.610835,-089.651582
17,027,900200,1928,+38.695554,-089.517240
17,027,900300,6818,+38.612556,-089.506264
17,027,900401,1329,+38.629721,-089.221468
17,027,900402,5580,+38.632845,-089.357307
17,027,900500,6799,+38.534299,-089.202160
17,027,900601,2466,+38.545561,-089.515850
17,027,900602,6787,+38.535211,-089.662851
17,029,000100,2999,+39.614894,-088.137376
17,029,000200,6123,+39.470175,-088.366989
17,029,000300,4656,+39.487274,-088.392083
17,029,000400,2870,+39.488709,-088.353538
17,029,000500,6239,+39.495355,-088.181739
17,029,000600,3664,+39.466863,-088.118625
17,029,000700,6894,+39.485751,-088.170208
17,029,000800,5675,+39.477146,-088.173808
17,029,000900,4255,+39.473015,-088.183092
17,029,001000,3353,+39.473651,-088.355534
17,029,001100,3685,+39.472325,-088.370988
17,029,001200,3460,+39.479437,-088.389476
17,031,010100,4854,+42.021200,-087.669534
17,031,010201,6450,+42.015972,-087.680738
17,031,010202,2818,+42.015540,-087.672469
17,031,010300,6236,+42.016013,-087.666414
17,031,010400,5042,+42.004091,-087.659582
17,031,010501,4091,+42.009869,-087.664054
17,031,010502,3101,+42.004788,-087.663021
17,031,010503,2290,+41.999926,-087.662847
17,031,010600,6097,+42.005687,-087.667654
17,031,010701,3864,+42.009167,-087.679164
17,031,010702,5143,+42.008846,-087.672172
17,031,020100,3965,+42.015484,-087.687209
17,031,020200,6676,+42.015820,-087.699421
17,031,020301,4750,+42.007294,-087.705469
17,031,020302,4650,+42.009212,-087.695062
17,031,020400,4168,+42.007998,-087.685571
17,031,020500,6214,+41.999848,-087.682765
17,031,020601,6353,+42.000352,-087.701855
17,031,020602,4340,+42.001152,-087.693658
17,031,020701,1704,+41.986065,-087.703552
17,031,020702,7194,+41.994426,-087.703909
17,031,020801,5458,+41.986738,-087.693910
17,031,020802,6963,+41.994394,-087.695073
17,031,020901,5221,+41.994895,-087.686077
17,031,020902,4286,+41.993346,-087.678649
17,031,030101,3893,+41.991376,-087.656454
17,031,030102,3204,+41.993529,-087.656605
17,031,030103,1928,+41.995104,-087.657267
17,031,030104,3681,+41.996993,-087.657229
17,031,030200,5369,+41.994744,-087.664885
17,031,030300,3322,+41.994310,-087.672822
17,031,030400,2684,+41.986918,-087.672024
