GEOID,POPULATION
17001000100,4627
17001000201,1986
17001000202,2999
17001000400,4322
17001000500,2337
17001000600,3718
17001000700,1481
17001000800,2711
17001000900,2573
17001001001,3391
17001001002,3223
17001001100,7257
17001010100,4451
17001010200,3720
17001010300,5890
17001010400,3553
17001010500,2989
17001010600,5875
17003957600,2928
17003957700,2172
17003957800,1528
17003957900,1610
17005951200,3216
17005951300,6958
17005951400,3146
17005951500,4448
17007010100,8562
17007010200,6105
17007010300,6631
17007010400,6841
17007010500,10185
17007010601,3859
17007010602,11982
17009970400,2606
17009970500,4331
17011964700,3072
17011964800,3496
17011964900,2815
17011965000,4078
17011965100,4152
17011965200,3600
17011965300,3429
17011965400,3549
17011965500,3759
17011965600,3028
17013951200,2681
17013951300,2408
17015960100,3578
17015960200,2165
17015960300,3176
17015960400,2234
17015960500,2636
17015960600,1598
17017960100,2403
17017960200,2655
17017960300,3294
17017960400,2548
17017960500,2742
17019000200,1693
17019000301,4819
17019000302,3372
17019000401,4843
17019000402,3931
17019000500,3919
17019000700,3650
17019000800,4844
17019000901,4867
17019000902,5786
17019001000,4510
17019001100,3599
17019001201,6590
17019001203,4592
17019001204,3622
17019001205,5037
17019001206,1831
17019001301,6081
17019001302,4199
17019001400,6877
17019005300,4383
17019005401,4170
17019005402,2927
17019005500,5635
17019005600,6853
17019005701,5066
17019005702,3015
17019005800,4194
17019005900,6366
17019006000,3308
17019010100,4582
17019010204,4620
17019010300,3789
17019010400,4809
17019010500,4371
17019010601,5549
17019010603,7144
17019010604,3151
17019010700,8057
17019010800,4534
17019010900,9302
17019011000,3809
17019011100,2785
17021958100,2999
17021958200,3888
17021958300,4308
17021958400,3868
17021958500,2551
17021958600,2277
17021958700,4750
17021958800,2746
17021958900,2763
17021959000,4650
17023060100,4834
17023060200,4337
17023060300,5371
17023060400,1793
17025971900,2517
17025972000,2844
17025972100,5405
17025972200,3049
17027900100,6055
17027900200,1928
17027900300,6818
17027900401,1329
17027900402,5580
17027900500,6799
17027900601,2466
17027900602,6787
17029000100,2999
17029000200,6123
17029000300,4656
17029000400,2870
17029000500,6239
17029000600,3664
17029000700,6894
17029000800,5675
17029000900,4255
17029001000,3353
17029001100,3685
17029001200,3460
17031010100,4854
17031010201,6450
17031010202,2818
17031010300,6236
17031010400,5042
17031010501,4091
17031010502,3101
17031010503,2290
17031010600,6097
17031010701,3864
17031010702,5143
17031020100,3965
17031020200,6676
17031020301,4750
17031020302,4650
17031020400,4168
17031020500,6214
17031020601,6353
17031020602,4340
17031020701,1704
17031020702,7194
17031020801,5458
17031020802,6963
17031020901,5221
17031020902,4286
17031030101,3893
17031030102,3204
17031030103,1928
17031030104,3681
17031030200,5369
17031030300,3322
17031030400,2684
17031030500,6395
17031030601,4012
17031030603,2095
17031030604,2976
17031030701,1549
17031030702,1630
17031030703,2830
17031030706,3599
17031030800,4326
17031030900,3028
17031031000,3656
17031031100,4402
17031031200,5648
17031031300,7076
17031031400,5150
17031031501,4083
17031031502,4354
17031031700,6570
17031031800,1820
17031031900,2304
17031032100,7052
17031040100,3985
17031040201,6218
17031040202,7249
17031040300,3069
17031040401,3092
17031040402,4468
17031040600,2434
17031040700,3123
17031040800,1514
17031040900,1950
17031050100,2290
17031050200,4837
17031050300,2365
17031050500,4754
17031050600,2071
17031050700,1418
17031050800,1289
17031050900,1391
17031051000,1503
17031051100,1556
17031051200,1516
17031051300,2683
17031051400,2077
17031060100,2569
17031060200,2111
17031060300,2839
17031060400,3370
17031060500,1309
17031060800,4837
17031060900,6867
17031061000,1647
17031061100,1379
17031061200,1889
17031061500,1707
17031061800,1112
17031061901,3433
17031061902,4240
17031062000,2569
