RESIDENCE,WORKPLACE,JOBS
17001000100,17001000100,139
17001000100,17001000201,12
17001000100,17001000202,9
17001000100,17001000400,10
17001000100,17001000500,119
17001000100,17001000600,71
17001000100,17001000700,69
17001000100,17001000800,6
17001000100,17001001001,4
17001000100,17001001002,22
17001000100,17001001100,76
17001000100,17001010400,46
17001000100,17001010500,4
17001000100,17001010600,5
17001000100,17009970500,8
17001000100,17021958200,2
17001000100,17115001000,2
17001000201,17001000100,40
17001000201,17001000201,6
17001000201,17001000400,10
17001000201,17001000500,41
17001000201,17001000600,35
17001000201,17001000700,31
17001000201,17001001001,2
17001000201,17001001002,3
17001000201,17001001100,30
17001000201,17001010400,26
17001000201,17001010600,8
17001000201,17009970500,12
17001000201,17113001200,2
17001000202,17001000100,62
17001000202,17001000201,6
17001000202,17001000202,10
17001000202,17001000400,13
17001000202,17001000500,62
17001000202,17001000600,32
17001000202,17001000700,24
17001000202,17001000800,6
17001000202,17001000900,2
17001000202,17001001002,3
17001000202,17001001100,43
17001000202,17001010400,14
17001000202,17001010600,2
17001000202,17009970500,9
17001000202,17167002000,2
17001000400,17001000100,65
17001000400,17001000201,8
17001000400,17001000202,2
17001000400,17001000400,32
17001000400,17001000500,60
17001000400,17001000600,21
17001000400,17001000700,27
17001000400,17001000800,6
17001000400,17001001002,10
17001000400,17001001100,11
17001000400,17001010400,12
17001000400,17001010500,4
17001000400,17001010600,6
17001000400,17057953300,2
17001000400,17167002000,6
17001000500,17001000100,58
17001000500,17001000201,5
17001000500,17001000202,4
17001000500,17001000400,4
17001000500,17001000500,59
17001000500,17001000600,20
17001000500,17001000700,8
17001000500,17001000800,4
17001000500,17001001002,6
17001000500,17001001100,33
17001000500,17001010400,17
17001000500,17001010500,2
17001000500,17009970400,2
17001000500,17009970500,5
17001000500,17167002000,2
17001000600,17001000100,34
17001000600,17001000201,5
17001000600,17001000400,6
17001000600,17001000500,75
17001000600,17001000600,81
17001000600,17001000700,56
17001000600,17001000800,8
17001000600,17001001002,12
17001000600,17001001100,69
17001000600,17001010400,24
17001000600,17001010600,19
17001000600,17009970500,9
17001000600,17167002000,2
17001000700,17001000100,7
17001000700,17001000500,13
17001000700,17001000700,17
17001000700,17001000800,2
17001000700,17001001100,6
17001000700,17001010400,2
17001000700,17001010600,2
17001000700,17009970500,2
17001000700,17021958300,2
17001000700,17057953800,2
17001000700,17167002000,12
17001000800,17001000100,26
17001000800,17001000201,2
17001000800,17001000400,6
